rank in National Universities,college,location,Tuition and Fees,Undergraduate Enrollment
164,Virginia Commonwealth University,"Richmond, VA","$31,608 (out-of-state), $13,076 (in-state)","24,051"
169,Union University,"Jackson, TN","$30,420","2,829"
169,University of Hawaii--Manoa,"Honolulu, HI","$33,764 (out-of-state), $11,732 (in-state)","13,689"
171,Edgewood College,"Madison, WI","$27,530","1,813"
171,Florida Institute of Technology,"Melbourne, FL","$40,446","3,586"
171,University of Idaho,"Moscow, ID","$22,040 (out-of-state), $7,232 (in-state)","9,116"
171,University of Louisville,"Louisville, KY","$24,626 (out-of-state), $10,738 (in-state)","15,769"
171,University of Wyoming,"Laramie, WY","$16,215 (out-of-state), $5,055 (in-state)","10,045"
176,Ball State University,"Muncie, IN","$25,428 (out-of-state), $9,654 (in-state)","16,602"
176,Lipscomb University,"Nashville, TN","$29,756","3,030"
176,Mississippi State University,"Mississippi State, MS","$20,142 (out-of-state), $7,502 (in-state)","17,421"
176,Montclair State University,"Montclair, NJ","$20,318 (out-of-state), $11,771 (in-state)","16,336"
176,Texas Tech University,"Lubbock, TX","$22,861 (out-of-state), $10,622 (in-state)","29,237"
176,University of Central Florida,"Orlando, FL","$22,467 (out-of-state), $6,368 (in-state)","54,513"
176,University of New Mexico,"Albuquerque, NM","$21,302 (out-of-state), $7,071 (in-state)","20,522"
183,Andrews University,"Berrien Springs, MI","$27,684","1,733"
183,Azusa Pacific University,"Azusa, CA","$36,120","5,883"
183,University of Maine,"Orono, ME","$29,498 (out-of-state), $10,628 (in-state)","9,297"
183,West Virginia University,"Morgantown, WV","$21,432 (out-of-state), $7,632 (in-state)","22,498"
183,Widener University,"Chester, PA","$42,870","3,554"
188,Kent State University,"Kent, OH","$18,376 (out-of-state), $10,012 (in-state)","23,607"
188,North Dakota State University,"Fargo, ND","$19,790 (out-of-state), $9,046 (in-state)","12,037"
188,Pace University,"New York, NY","$42,772","8,747"
188,Robert Morris University,"Moon Township, PA","$28,250","4,497"
188,Suffolk University,"Boston, MA","$35,578","5,565"
188,University of Hartford,"West Hartford, CT","$37,790","5,246"
194,Bowling Green State University,"Bowling Green, OH","$18,332 (out-of-state), $10,796 (in-state)","14,334"
194,University of Houston,"Houston, TX","$25,410 (out-of-state), $10,710 (in-state)","34,716"
194,Western Michigan University,"Kalamazoo, MI","$25,713 (out-of-state), $11,029 (in-state)","18,567"
197,Indiana University-Purdue University--Indianapolis,"Indianapolis, IN","$29,791 (out-of-state), $9,205 (in-state)","21,985"
197,Lesley University,"Cambridge, MA","$25,750","1,520"
197,University of Alabama--Huntsville,"Huntsville, AL","$20,622 (out-of-state), $9,128 (in-state)","6,013"
197,University of Colorado--Denver,"Denver, CO","$29,334 (out-of-state), $10,404 (in-state)","14,036"
197,University of Nevada--Reno,"Reno, NV","$21,052 (out-of-state), $7,142 (in-state)","17,770"
202,California State University--Fullerton,"Fullerton, CA","$17,596 (out-of-state), $6,436 (in-state)","33,144"
202,Central Michigan University,"Mount Pleasant, MI","$23,670 (out-of-state), $12,150 (in-state)","20,498"
202,Louisiana Tech University,"Ruston, LA","$25,851 (out-of-state), $8,853 (in-state)","10,682"
202,South Dakota State University,"Brookings, SD","$11,403 (out-of-state), $8,172 (in-state)","11,007"
202,University of Alaska--Fairbanks,"Fairbanks, AK","$22,469 (out-of-state), $7,799 (in-state)","7,610"
202,University of North Carolina--Charlotte,"Charlotte, NC","$20,193 (out-of-state), $6,617 (in-state)","22,732"
202,University of North Dakota,"Grand Forks, ND","$18,899 (out-of-state), $4,965 (in-state)","11,577"
202,University of South Dakota,"Vermillion, SD","$11,688 (out-of-state), $8,457 (in-state)","7,435"
210,East Carolina University,"Greenville, NC","$22,904 (out-of-state), $6,946 (in-state)","23,039"
210,Montana State University,"Bozeman, MT","$23,042 (out-of-state), $7,031 (in-state)","13,707"
210,Old Dominion University,"Norfolk, VA","$27,028 (out-of-state), $10,048 (in-state)","20,101"
210,University of Missouri--Kansas City,"Kansas City, MO","$22,714 (out-of-state), $9,551 (in-state)","11,253"
214,Ashland University,"Ashland, OH","$20,392","3,716"
214,Dallas Baptist University,"Dallas, TX","$26,180","3,315"
214,Northern Illinois University,"DeKalb, IL","$23,799 (out-of-state), $14,334 (in-state)","15,027"
214,Nova Southeastern University,"Ft. Lauderdale, FL","$27,660","4,641"
214,Southern Illinois University--Carbondale,"Carbondale, IL","$27,130 (out-of-state), $13,481 (in-state)","13,031"
214,University of Montana,"Missoula, MT","$24,562 (out-of-state), $6,446 (in-state)","8,732"
220,Benedictine University,"Lisle, IL","$32,170","3,347"
220,California State University--Fresno,"Fresno, CA","$17,209 (out-of-state), $6,313 (in-state)","21,482"
220,Gardner-Webb University,"Boiling Springs, NC","$29,850","2,615"
220,New Mexico State University,"Las Cruces, NM","$21,234 (out-of-state), $6,729 (in-state)","12,526"
220,Shenandoah University,"Winchester, VA","$31,322","2,010"
220,Tennessee Technological University,"Cookeville, TN","$24,800 (out-of-state), $16,311 (in-state)","9,801"
220,University of Massachusetts--Boston,"Boston, MA","$32,023 (out-of-state), $13,435 (in-state)","12,949"
220,University of Massachusetts--Dartmouth,"North Dartmouth, MA","$19,270 (out-of-state), $12,588 (in-state)","7,295"
220,University of Missouri--St. Louis,"St. Louis, MO","$26,277 (out-of-state), $10,065 (in-state)","13,569"
220,University of North Carolina--Greensboro,"Greensboro, NC","$21,595 (out-of-state), $6,733 (in-state)","15,951"
220,University of Southern Mississippi,"Hattiesburg, MS","$16,094 (out-of-state), $7,224 (in-state)","11,840"
220,Utah State University,"Logan, UT","$19,772 (out-of-state), $6,866 (in-state)","25,259"
,American International College,"Springfield, MA","$33,140","1,486"
,Augusta University,"Augusta, GA","$23,130 (out-of-state), $8,422 (in-state)","4,976"
,Barry University,"Miami Shores, FL","$28,800","3,776"
,Boise State University,"Boise, ID","$21,530 (out-of-state), $7,080 (in-state)","19,122"
,Cardinal Stritch University,"Milwaukee, WI","$28,212","1,975"
,Clark Atlanta University,"Atlanta, GA","$22,396","2,741"
,Cleveland State University,"Cleveland, OH","$13,028 (out-of-state), $9,786 (in-state)","12,443"
,Eastern Michigan University,"Ypsilanti, MI","$28,524 (out-of-state), $10,704 (in-state)","17,780"
,East Tennessee State University,"Johnson City, TN","$27,018 (out-of-state), $8,818 (in-state)","11,392"
,Florida A&M University,"Tallahassee, FL","$17,726 (out-of-state), $5,784 (in-state)","8,128"
,Florida Atlantic University,"Boca Raton, FL","$19,432 (out-of-state), $5,432 (in-state)","25,471"
,Florida International University,"Miami, FL","$18,954 (out-of-state), $6,556 (in-state)","41,038"
,Georgia Southern University,"Statesboro, GA","$18,692 (out-of-state), $6,796 (in-state)","17,963"
,Georgia State University,"Atlanta, GA","$28,896 (out-of-state), $10,686 (in-state)","25,160"
,Grand Canyon University,"Phoenix, AZ","$17,050",N/A
,Indiana State University,"Terre Haute, IN","$19,076 (out-of-state), $8,746 (in-state)","11,257"
,Indiana University of Pennsylvania,"Indiana, PA","$21,034 (out-of-state), $11,368 (in-state)","11,537"
,Jackson State University,"Jackson, MS","$17,614 (out-of-state), $7,261 (in-state)","7,475"
,Kennesaw State University,"Kennesaw, GA","$21,732 (out-of-state), $8,276 (in-state)","30,480"
,Lamar University,"Beaumont, TX","$22,141 (out-of-state), $9,901 (in-state)","9,174"
,Liberty University,"Lynchburg, VA","$23,020","49,863"
,Lindenwood University,"St. Charles, MO","$16,332","8,285"
,Middle Tennessee State University,"Murfreesboro, TN","$24,808 (out-of-state), $8,080 (in-state)","20,140"
,Morgan State University,"Baltimore, MD","$17,504 (out-of-state), $7,636 (in-state)","6,319"
,National Louis University,"Chicago, IL","$10,617","1,306"
,North Carolina A&T State University,"Greensboro, NC","$19,132 (out-of-state), $6,372 (in-state)","9,353"
,Northern Arizona University,"Flagstaff, AZ","$24,144 (out-of-state), $10,764 (in-state)","25,120"
,Oakland University,"Rochester, MI","$24,735 (out-of-state), $12,431 (in-state)","16,793"
,Portland State University,"Portland, OR","$24,852 (out-of-state), $8,337 (in-state)","21,980"
,Prairie View A&M University,"Prairie View, TX","$22,272 (out-of-state), $9,745 (in-state)","6,923"
,Regent University,"Virginia Beach, VA","$16,700","2,995"
,Sam Houston State University,"Huntsville, TX","$21,635 (out-of-state), $9,395 (in-state)","17,401"
,San Francisco State University,"San Francisco, CA","$17,644 (out-of-state), $6,484 (in-state)","26,906"
,Spalding University,"Louisville, KY","$24,000",N/A
,Tennessee State University,"Nashville, TN","$20,208 (out-of-state), $7,234 (in-state)","7,264"
,Texas A&M University--Commerce,"Commerce, TX","$20,138 (out-of-state), $7,898 (in-state)","7,642"
,Texas A&M University--Corpus Christi,"Corpus Christi, TX","$21,193 (out-of-state), $9,106 (in-state)","9,804"
,Texas A&M University--Kingsville,"Kingsville, TX","$19,173 (out-of-state), $8,050 (in-state)","6,605"
,Texas Southern University,"Houston, TX","$20,426 (out-of-state), $8,726 (in-state)","6,696"
,Texas State University,"San Marcos, TX","$22,458 (out-of-state), $10,218 (in-state)","33,480"
,Texas Woman's University,"Denton, TX","$21,010 (out-of-state), $8,770 (in-state)","10,080"
,Trevecca Nazarene University,"Nashville, TN","$24,624","1,831"
,Trinity International University,"Deerfield, IL","$30,130","1,066"
,University of Akron,"Akron, OH","$19,040 (out-of-state), $10,509 (in-state)","19,037"
,University of Arkansas--Little Rock,"Little Rock, AR","$19,235 (out-of-state), $8,165 (in-state)","9,575"
,University of Louisiana--Lafayette,"Lafayette, LA","$21,984 (out-of-state), $8,256 (in-state)","15,870"
,University of Louisiana--Monroe,"Monroe, LA","$19,758 (out-of-state), $7,658 (in-state)","7,506"
,University of Maryland--Eastern Shore,"Princess Anne, MD","$17,188 (out-of-state), $7,804 (in-state)","3,743"
,University of Memphis,"Memphis, TN","$20,615 (out-of-state), $8,903 (in-state)","16,639"
,University of Nebraska--Omaha,"Omaha, NE","$19,124 (out-of-state), $7,204 (in-state)","12,488"
,University of Nevada--Las Vegas,"Las Vegas, NV","$21,775 (out-of-state), $7,865 (in-state)","23,801"
,University of New Orleans,"New Orleans, LA","$21,911 (out-of-state), $8,094 (in-state)","6,601"
,University of Northern Colorado,"Greeley, CO","$20,002 (out-of-state), $8,416 (in-state)","9,394"
,University of North Texas,"Denton, TX","$22,759 (out-of-state), $10,519 (in-state)","30,503"
,University of South Alabama,"Mobile, AL","$18,468 (out-of-state), $9,446 (in-state)","11,524"
,University of Texas--Arlington,"Arlington, TX","$23,460 (out-of-state), $9,616 (in-state)","30,633"
,University of Texas--El Paso,"El Paso, TX","$18,759 (out-of-state), $7,058 (in-state)","20,220"
,University of Texas--San Antonio,"San Antonio, TX","$22,290 (out-of-state), $9,044 (in-state)","24,462"
,University of the Cumberlands,"Williamsburg, KY","$23,000","2,900"
,University of Toledo,"Toledo, OH","$18,906 (out-of-state), $9,568 (in-state)","16,064"
,University of West Florida,"Pensacola, FL","$21,841 (out-of-state), $8,960 (in-state)","10,200"
,University of West Georgia,"Carrollton, GA","$20,406 (out-of-state), $7,188 (in-state)","10,753"
,University of Wisconsin--Milwaukee,"Milwaukee, WI","$19,603 (out-of-state), $9,429 (in-state)","22,284"
,Valdosta State University,"Valdosta, GA","$20,560 (out-of-state), $7,342 (in-state)","8,796"
,Wayne State University,"Detroit, MI","$27,443 (out-of-state), $12,745 (in-state)","17,669"
,Wichita State University,"Wichita, KS","$15,851 (out-of-state), $7,528 (in-state)","11,691"
,Wright State University,"Dayton, OH","$17,098 (out-of-state), $8,730 (in-state)","12,722"
,Alliant International University,"San Diego, CA","$16,800","1,227"
,Argosy University,"Orange, CA","$13,560",N/A
,California Institute of Integral Studies,"San Francisco, CA","$26,910",102
,Capella University,"Minneapolis, MN","$13,176",N/A
,Idaho State University,"Pocatello, ID","$20,182 (out-of-state), $6,784 (in-state)",N/A
,Northcentral University,"Prescott Valley, AZ",N/A,168
,Trident University International,"Cypress, CA","$9,000",N/A
,Union Institute and University,"Cincinnati, OH","$12,144","1,088"
,University of Phoenix,"Phoenix, AZ","$10,554",N/A
,University of Texas--Rio Grande Valley,"Edinburg, TX","$16,652 (out-of-state), $7,292 (in-state)",N/A
,Walden University,"Minneapolis, MN","$12,075",N/A
,Wilmington University,"New Castle, DE","$10,670","9,282"
